Month,Year,GDP,CPI,USD/VND,Temperature,Service
1,2010,4.23,1.36,18474,21.28,11302
2,2010,4.23,1.96,19050,23,11253
3,2010,4.23,0.75,19090,23.38,10776
4,2010,3.81,0.14,18975,25.92,11472
5,2010,3.81,0.27,18875,28,11656
6,2010,3.81,0.22,19080,27.64,11413
7,2010,3.92,0.06,19050,27.67,11388
8,2010,3.92,0.23,19490,27.18,11625
9,2010,3.92,1.31,19450,26.98,11969
10,2010,3.86,1.05,19480,24.64,13318
11,2010,3.86,1.86,19498,22.73,14066
12,2010,3.86,1.98,19495,21.54,13937
1,2011,4.16,1.74,19495,18.06,13562
2,2011,4.16,2.09,20875,21.12,13819
3,2011,4.16,2.17,20880,19.64,13529
4,2011,3.73,3.32,20570,24.53,13489
5,2011,3.73,2.21,20500,26.51,14026
6,2011,3.73,1.09,20510,27.36,13653
7,2011,3.84,1.17,20580,27.66,13980
8,2011,3.84,0.93,20830,27.21,13890
9,2011,3.84,0.82,20825,26.3,14617
10,2011,3.92,0.36,21000,24.55,15198
11,2011,3.92,0.39,21000,23.74,16597
12,2011,3.92,0.53,21031,19.99,17564
1,2012,4.14,1,21000,19.94,18055
2,2012,4.14,1.37,20830,21.26,17823
3,2012,4.14,0.16,20820,22.66,18445
4,2012,3.76,0.05,20830,26.18,18945
5,2012,3.76,0.18,20820,27.52,18523
6,2012,3.76,-0.26,20880,27.42,18928
7,2012,3.81,-0.29,20850,27.49,19105
8,2012,3.81,0.63,20790,27.47,19102
9,2012,3.81,2.2,20875,26.47,19762
10,2012,4.01,0.85,20825,25.72,20813
11,2012,4.01,0.47,20835,24.31,20777
12,2012,4.01,0.27,20820,22.4,22949
1,2013,4.76,1.25,20810,20.28,22460
2,2013,4.76,1.32,20930,22.91,20871
3,2013,4.76,-0.19,20925,23.96,21276
4,2013,5,0.02,20810,25.94,22133
5,2013,5,-0.06,20990,27.26,22125
6,2013,5,0.05,21170,27.39,21855
7,2013,5.54,0.27,21140,27.2,21731
8,2013,5.54,0.83,21120,27.4,22048
9,2013,5.54,1.06,21112,25.97,22830
10,2013,6.04,0.49,21080,24.48,23459
11,2013,6.04,0.34,21090,23.38,23326
12,2013,6.04,0.51,21075,18.65,25100
1,2014,5.06,0.69,21035,18.89,25583
2,2014,5.06,0.55,21080,20.58,24671
3,2014,5.06,-0.44,21075,22.98,26833
4,2014,5.06,0.08,21060,26.17,27364
5,2014,5.06,0.2,21135,27.02,28840
6,2014,5.06,1.38,21300,27.99,29298
7,2014,5.18,0.23,21200,27.36,28349
8,2014,5.18,0.22,21170,27.29,27301
9,2014,5.18,0.4,21190,27,27138
10,2014,5.62,0.11,21255,25.69,28673
11,2014,5.62,-0.27,21300,24.08,33159
12,2014,5.62,-0.24,21370,20.4,32993
1,2015,6.03,-0.2,21267,19.95,30761
2,2015,6.03,-0.05,21320,21.59,30624
3,2015,6.03,0.15,21520,23.57,29300
4,2015,6.28,0.14,21550,25.83,30000
5,2015,6.28,0.16,21785,28.44,30000
6,2015,6.28,0.35,21802,28.56,30700
7,2015,6.5,0.13,21813,27.46,30200
8,2015,6.5,-0.07,22480,27.51,29384
9,2015,6.5,-0.21,22471,27.08,29877
10,2015,6.1,0.11,22309,25.35,30380
11,2015,6.1,0.07,22468,24.76,31986
12,2015,6.1,0.02,22480,22.08,34382
1,2016,5.46,0,22198,20.29,33847
2,2016,5.46,0.42,22277,19.13,33093
3,2016,5.46,0.57,22264,22.15,31760
4,2016,5.5,0.33,22244,26.01,32985
5,2016,5.5,0.54,22366,27.59,33385
6,2016,5.5,0.46,22281,28.26,34022
7,2016,5.52,0.13,22273,27.87,33981
8,2016,5.52,0.1,22300,27.64,32360
9,2016,5.52,0.54,22281,26.85,32923
10,2016,5.93,0.83,22284,25.91,33683
11,2016,5.93,0.48,22640,23.51,34794
12,2016,5.93,0.23,22770,21.45,36164
1,2017,5.1,0.46,22590,15.23,36924
2,2017,5.1,0.23,22750,17.73,34940
3,2017,5.1,0.21,22750,19.44,37036
4,2017,6.17,0,22740,18.63,38410
5,2017,6.17,-0.53,22710,16.93,38954
6,2017,6.17,-0.17,22700,37.75,38754
7,2017,7.46,0.11,22726,35.25,38402
8,2017,7.46,0.92,22715,40.7,38683
9,2017,7.46,0.59,22720,31.49,39109
10,2017,6.41,0.41,22700,23.37,39697
11,2017,6.41,0.13,22705,29.08,41220
12,2017,6.41,0.21,22700,14.93,41898
2,2018,7.38,0.73,22756,20.88,39104
3,2018,7.38,-0.27,22793,11.99,37975
4,2018,6.79,0.08,22763,12.22,38104
5,2018,6.79,0.55,22804,11.28,40920
6,2018,6.79,0.61,22956,39.99,43926
7,2018,6.88,-0.09,23280,39.34,45010
8,2018,6.88,0.45,23303,40.44,44139
9,2018,6.88,0.59,23325,31.7,43832
10,2018,7.31,0.33,23343,29.19,44076
11,2018,7.31,-0.29,23315,24.46,46022
12,2018,7.31,-0.25,23190,18.71,44372
1,2019,6.79,0.1,23198,8.77,43031
2,2019,6.79,0.8,23199,16.6,40675
3,2019,6.79,-0.21,23203,13.01,40985
4,2019,6.71,0.31,23285,24.23,42074
5,2019,6.71,0.49,23410,18.31,44679
6,2019,6.71,-0.09,23300,34.98,47040
7,2019,7.31,0.18,23230,33.17,48007
8,2019,7.31,0.28,23185,39.29,47956
9,2019,7.31,0.32,23200,24.39,48833
10,2019,6.97,0.59,23202,25.96,49986
11,2019,6.97,0.96,23179,18.26,50462
12,2019,6.97,1.4,23171,16.26,50981
1,2020,3.82,1.23,23222,16.18,47085
2,2020,3.82,-0.17,23240,16.25,41401
3,2020,3.82,-0.72,23616,24.21,38660
4,2020,0.36,-1.54,23428,20.55,19655
5,2020,0.36,-0.03,23280,16.03,40834
6,2020,0.36,0.66,23204,35.24,46452
7,2020,2.62,0.4,23170,38.37,48402
8,2020,2.62,0.07,23174,30.72,46258
9,2020,2.62,0.12,23181,27.33,46983
10,2020,4.48,0.09,23180,27.39,48250
11,2020,4.48,-0.01,23140,20.95,50028
12,2020,4.48,0.1,23070,8.93,51734
1,2021,4.48,0.06,23048,11.73,50756
2,2021,4.48,1.52,23015,12.46,42707
3,2021,4.48,-0.27,23074,18.98,41279
4,2021,6.61,-0.04,23054,17.14,42820
5,2021,6.61,0.16,23040,24.84,40667
6,2021,6.61,0.17,23014,31.22,36615
7,2021,-6.17,0.62,22950,32.51,26269
8,2021,-6.17,0.25,22775,31.94,16356
9,2021,-6.17,-0.62,22750,27.14,18504
10,2021,5.22,-0.2,22750,21.55,25227
11,2021,5.22,0.32,22688,24.53,30292
12,2021,5.22,-0.18,22825,10.67,45107
1,2022,5.03,0.19,22645,9.38,44884
2,2022,5.03,1,22805,8.66,40448
3,2022,5.03,0.7,22838,20.19,43397
4,2022,7.72,0.18,22962,12.93,45179
5,2022,7.72,0.38,23185,13.75,45337
6,2022,7.72,0.69,23255,34.42,46623
7,2022,13.67,0.4,23335,39.85,47422
8,2022,13.67,0.01,23450,31.17,47856
9,2022,13.67,0.4,23855,29.73,57145
10,2022,5.92,0.15,24840,19.35,60515
11,2022,5.92,0.39,24630,31.67,61206
12,2022,5.92,-0.01,23610,14.03,60890
1,2023,3.32,0.52,23445,21.65,51243
2,2023,3.32,0.45,23740,16.07,48673
3,2023,3.32,-0.23,23450,21.35,50078
4,2023,4.14,-0.34,23450,11.55,52432
5,2023,4.14,0.01,23485,14.96,52270
6,2023,4.14,0.27,23575,31.44,51328
7,2023,5.33,0.45,23680,33.55,52543
8,2023,5.33,0.88,24060,31.42,52911
9,2023,5.33,1.08,24280,22.45,57067
10,2023,6.72,0.08,24560,23.8,59967
11,2023,6.72,0.25,24250,18.9,63527
12,2023,6.72,0.12,24260,17.39,65375
1,2024,5.66,0.31,24415,17.63,53293
2,2024,5.66,1.04,24640,19.22,51662
3,2024,5.66,-0.23,24810,20.58,53211
4,2024,5.66,0.07,25330,24.66,52916
